interaction;rep;strain;type;medium;dilution_factor;count;volume_ul
bs;1;bs;mono;lb;-6;62;100
bs;2;bs;mono;lb;-6;10;100
bs;3;bs;mono;lb;-6;24;100
bs;4;bs;mono;lb;-6;9;100
dhb;1;bs;mono;lb;-6;8;100
dhb;2;bs;mono;lb;-6;38;100
dhb;3;bs;mono;lb;-6;33;100
dhb;4;bs;mono;lb;-6;13;100
ps;1;ps;mono;lb;-6;23;20
ps;2;ps;mono;lb;-6;36;20
ps;3;ps;mono;lb;-6;38;20
ps;4;ps;mono;lb;-6;12;20
bsps;1;bs;co;lb;-2;8;20
bsps;2;bs;co;lb;-2;23;20
bsps;3;bs;co;lb;-2;4;20
bsps;4;bs;co;lb;-4;14;20
bsps;1;ps;co;lb;-7;9;20
bsps;2;ps;co;lb;-6;42;20
bsps;3;ps;co;lb;-6;18;20
bsps;4;ps;co;lb;-5;74;20
dhbps;1;bs;co;lb;-4;12;20
dhbps;2;bs;co;lb;-4;23;20
dhbps;3;bs;co;lb;-2;17;20
dhbps;4;bs;co;lb;-4;8;20
dhbps;1;ps;co;lb;-6;61;20
dhbps;2;ps;co;lb;-6;49;20
dhbps;3;ps;co;lb;-5;69;20
dhbps;4;ps;co;lb;-6;61;20
bs;1;bs;mono;kb;-1;24;20
bs;2;bs;mono;kb;-1;13;20
bs;3;bs;mono;kb;-1;1;20
bs;4;bs;mono;kb;-1;2;20
dhb;1;bs;mono;kb;-1;0;20
dhb;2;bs;mono;kb;-1;0;20
dhb;3;bs;mono;kb;-1;0;20
dhb;4;bs;mono;kb;-1;0;20
ps;1;ps;mono;kb;-7;48;100
ps;2;ps;mono;kb;-7;4;100
ps;3;ps;mono;kb;-7;12;100
ps;4;ps;mono;kb;-7;2;100
bsps;1;bs;co;kb;-4;69;20
bsps;2;bs;co;kb;-5;8;20
bsps;3;bs;co;kb;-5;2;20
bsps;4;bs;co;kb;-5;7;20
bsps;1;ps;co;kb;-3;121;20
bsps;2;ps;co;kb;-5;50;20
bsps;3;ps;co;kb;-3;80;20
bsps;4;ps;co;kb;-3;26;20
dhbps;1;bs;co;kb;-7;9;20
dhbps;2;bs;co;kb;-6;14;20
dhbps;3;bs;co;kb;-6;14;20
dhbps;4;bs;co;kb;-8;7;20
dhbps;1;ps;co;kb;-6;61;20
dhbps;2;ps;co;kb;-6;49;20
dhbps;3;ps;co;kb;-5;69;20
dhbps;4;ps;co;kb;-6;61;20
